SERIES,COLOR,FRAME,X,Y,Z
0,Yellow,0,-70.500343,45.529385,-250.500000
0,Yellow,1,-77.142448,51.617989,-250.500000
0,Yellow,2,-76.588943,56.046085,-244.500000
0,Yellow,3,-80.463554,56.046085,-241.500000
0,Yellow,4,-76.588943,54.938984,-235.500000
0,Yellow,5,-79.356552,53.278488,-232.500000
0,Yellow,6,-72.714447,46.082886,-235.500000
0,Yellow,7,-76.588943,41.101284,-232.500000
0,Yellow,8,-75.481941,40.547783,-235.500000
1,Yellow,0,-70.500343,45.529385,-250.500000
1,Yellow,1,-77.142448,51.617989,-250.500000
1,Yellow,2,-76.588943,56.046085,-244.500000
1,Yellow,3,-80.463554,56.046085,-241.500000
1,Yellow,4,-76.588943,54.938984,-235.500000
1,Yellow,5,-79.356552,53.278488,-232.500000
1,Yellow,6,-72.714447,46.082886,-235.500000
1,Yellow,7,-76.588943,41.101284,-232.500000
1,Yellow,8,-75.481941,40.547783,-235.500000
2,Yellow,0,3.795156,-122.669228,-253.500000
2,Yellow,1,-5.955844,-118.335426,-253.500000
2,Yellow,2,-7.581045,-113.459923,-250.500000
2,Yellow,3,-14.623446,-112.918221,-244.500000
2,Yellow,4,-9.747946,-118.335426,-241.500000
2,Yellow,5,-12.456545,-124.836128,-250.500000
2,Yellow,6,-5.955844,-132.420227,-244.500000
2,Yellow,7,-6.497645,-134.587128,-244.500000
2,Yellow,8,-8.664446,-135.670624,-244.500000
3,Yellow,0,18.410555,-163.055222,-244.500000
3,Yellow,1,12.440556,-159.075226,-241.500000
3,Yellow,2,11.445556,-154.597717,-238.500000
3,Yellow,3,6.470555,-154.597717,-235.500000
3,Yellow,4,9.455556,-159.075226,-229.500000
3,Yellow,5,6.470555,-159.572739,-229.500000
3,Yellow,6,9.953056,-167.035217,-226.500000
3,Yellow,7,9.953056,-167.035217,-223.500000
3,Yellow,8,8.460555,-168.527710,-229.500000
4,Yellow,0,149.136261,73.657593,13.500000
4,Yellow,1,146.746262,74.613487,16.500000
4,Yellow,2,146.746262,72.701584,19.500000
4,Yellow,3,147.224274,72.223587,19.500000
4,Yellow,4,147.224274,74.135582,19.500000
4,Yellow,5,141.010376,71.745590,37.500000
4,Yellow,6,141.966354,72.223587,37.500000
4,Yellow,7,141.010376,72.223587,34.500000
4,Yellow,8,143.400360,77.959488,28.500000
5,Yellow,0,-23.436844,-76.872826,19.500000
5,Yellow,1,-23.436844,-76.404022,19.500000
5,Yellow,2,-23.436844,-76.872826,19.500000
5,Yellow,3,-22.968044,-77.341614,19.500000
5,Yellow,4,-23.905647,-77.810417,22.500000
5,Yellow,5,-24.374447,-77.341614,22.500000
5,Yellow,6,-24.374447,-77.341614,25.500000
5,Yellow,7,-22.968044,-76.872826,28.500000
5,Yellow,8,-20.624046,-75.466415,25.500000
6,Yellow,0,-58.876644,36.673183,28.500000
6,Yellow,1,-60.537148,38.333683,31.500000
6,Yellow,2,-61.090645,37.226685,31.500000
6,Yellow,3,-60.537148,38.887283,34.500000
